Species,Number,Mortals,Guide,Recorder,Lat,Long,Time,GPS Label,Obs-Anml Dist,Angle,Angle Radians,Perp,Distance frm Start,Direction traveled,Fruit,Obs Type,Trail,Weather,Temperature,Date,Start/End of Trail?,Category of Date,Comments
RBDH,1,1,Luke,JM,3.200844,12.800965,2017-02-11T09:07:03Z,207,20,180,3.141592654,2.45E-15,1089,CCW,,h,EL ,Partly Sunny,,2/11/17,,LM,
RBDH,1,1,Luke,JM,3.200844,12.800965,2017-02-11T09:07:03Z,207,30,120,2.094395102,25.98076211,1860,CCW,,h,EL ,Partly Sunny,,2/11/17,,LM,
CRG,15,15,Luke,JM,3.199691,12.801101,2017-02-11T09:15:00Z,208,10,20,0.34906585,3.420201433,1970,CCW,,s,EL ,Partly Sunny,,2/11/17,,LM,
APH,2,2,Luke,JM,3.198565,12.801059,2017-02-11T09:22:20Z,209,10,270,4.71238898,10,2120,CCW,,s,EL ,Partly Sunny,,2/11/17,END: 10:32,LM,
RBDH,2,2,Jean-Jacques,ET,3.193155,12.815148,2017-02-11T06:06:44Z,RBDH 158,50,300,5.235987756,43.30127019,79,CW,,h,CDC,Cloudy,,2/11/17,START: 6:52,EM ,
BCH,2,2,Jean-Jacques,ET,3.193155,12.815148,2017-02-11T06:06:44Z,RBDH 158,1,0,0,0,79,CW,,s,CDC,Cloudy,,2/11/17,,EM ,
WTH,4,4,Jean-Jacques,ET,3.193155,12.815148,2017-02-11T06:06:44Z,RBDH 158,1,0,0,0,134,CW,,s,CDC,Cloudy,,2/11/17,,EM ,
CRG,2,2,Jean-Jacques,ET,3.196928,12.815703,2017-02-11T06:27:14Z,CRG 159,2,90,1.570796327,2,626,CW,,s,CDC,Cloudy,,2/11/17,,EM ,
BCH,1,1,Jean-Jacques,ET,3.196928,12.815703,2017-02-11T06:27:14Z,CRG 159,100,140,2.443460953,64.27876097,626,CW,,h,CDC,Cloudy,,2/11/17,,EM ,
APH,1,1,Jean-Jacques,ET,3.196928,12.815703,2017-02-11T06:27:14Z,CRG 159,100,0,0,0,626,CW,,h,CDC,Cloudy,,2/11/17,,EM ,
WNG,1,1,Jean-Jacques,ET,3.197781,12.814603,2017-02-11T06:39:23Z,WNG 160,3,0,0,0,774,CW,,s,CDC,Cloudy,,2/11/17,,EM ,
BCH,1,1,Jean-Jacques,ET,3.197781,12.814603,2017-02-11T06:39:23Z,WNG 160,100,110,1.919862177,93.96926208,774,CW,,h,CDC,Cloudy,,2/11/17,,EM ,
BCH,1,1,Jean-Jacques,ET,3.198499,12.813529,2017-02-11T06:45:22Z,BCH 161,80,100,1.745329252,78.78462024,935,CW,,h,CDC,Cloudy,,2/11/17,,EM ,
BCH,2,2,Jean-Jacques,ET,3.199661,12.812092,2017-02-11T06:52:36Z,BCH 162,50,180,3.141592654,6.13E-15,1160,CW,,s,CDC,Cloudy,,2/11/17,,EM ,
GBT,2,2,Jean-Jacques,ET,3.200025,12.811347,2017-02-11T06:55:13Z,GBT 163,150,200,3.490658504,51.3030215,1270,CW,,h,CDC,Cloudy,,2/11/17,,EM ,
WTH,2,2,Jean-Jacques,ET,3.200025,12.811347,2017-02-11T06:55:13Z,GBT 163,50,345,6.021385919,12.94095226,1270,CW,,h,CDC,Cloudy,,2/11/17,,EM ,
AGP,2,2,Jean-Jacques,ET,3.201922,12.810904,2017-02-11T07:04:16Z,AGP 164,40,190,3.316125579,6.945927107,1520,CW,,s,CDC,Cloudy,,2/11/17,,MM,
AGP,1,1,Jean-Jacques,ET,3.202709,12.810881,2017-02-11T07:07:10Z,AGP 165,40,340,5.934119457,13.68080573,1520,CW,,s,CDC,Cloudy,,2/11/17,,MM,
APH,1,1,Jean-Jacques,ET,3.202709,12.810881,2017-02-11T07:07:10Z,AGP 165,100,155,2.705260341,42.26182617,1520,CW,,h,CDC,Cloudy,,2/11/17,,MM,
GBT,2,2,Jean-Jacques,ET,3.204,12.811794,2017-02-11T07:13:28Z,GBT 166,300,265,4.625122518,298.8584094,1780,CW,,h,CDC,Cloudy,,2/11/17,,MM,
BCH,2,2,Jean-Jacques,ET,3.204827,12.812453,2017-02-11T07:17:31Z,BCH 167,150,290,5.061454831,140.9538931,1870,CW,,h,CDC,Cloudy,,2/11/17,END: 8:36,MM,
MM,2,2,Jean-Jacques,ET,3.208855,12.81498,2017-02-11T08:18:00Z,MM 168,30,70,1.221730476,28.19077862,500,CW,,s,BD,Partly Sunny,,2/11/17,START: 8:54,MM,
BCH,2,2,Jean-Jacques,ET,3.209071,12.815902,2017-02-11T08:22:55Z,BCH 169,100,90,1.570796327,100,590,CW,,h,BD,Partly Sunny,,2/11/17,,MM,
BCH,2,2,Jean-Jacques,ET,3.209888,12.818728,2017-02-11T08:44:21Z,BCH 170,100,30,0.523598776,50,910,CW,,h,BD,Partly Sunny,,2/11/17,,MM,
BCH,12,12,Jean-Jacques,ET,3.210722,12.819952,2017-02-11T08:51:12Z,BCH 171,50,10,0.174532925,8.682408883,1080,CW,,h,BD,Partly Sunny,,2/11/17,END: 10:04,MM,
MM,1,1,Jean-Jacques,TJ,3.189758,12.813935,2017-02-12T06:19:09Z,MM 172,10,225,3.926990817,7.071067812,117,CW,,ss,SB,overcast,,2/12/17,START;7:12,EM,
BCH,1,1,Jean-Jacques,TJ,3.189686,12.813883,2017-02-12T06:24:30Z,BCH173,100,340,5.934119457,34.20201433,117,CW,,h,SB,overcast,,2/12/17,,EM,
APH,2,2,Jean-Jacques,TJ,3.187567,12.814649,2017-02-12T06:42:25Z,APH 174,30,135,2.35619449,21.21320344,368,CW,,h,SB,overcast,,2/12/17,,EM,
RBDH,2,2,Jean-Jacques,TJ,3.187188,12.815303,2017-02-12T06:48:03Z,RBDH175,100,350,6.108652382,17.36481777,368,CW,,h,SB,overcast,,2/12/17,, ,
BCH,2,2,Jean-Jacques,TJ,3.186877,12.815458,2017-02-12T06:52:59Z,BCH 176,50,350,6.108652382,8.682408883,369,CW,,h,SB,overcast,,2/12/17,,EM,
WNG,2,2,Jean-Jacques,TJ,3.185378,12.815475,2017-02-12T07:05:10Z,WNG 177,150,25,0.436332313,63.39273926,685,CW,,h,SB,overcast,,2/12/17,,MM,
BCH,2,2,Jean-Jacques,TJ,3.184356,12.813265,2017-02-12T07:19:17Z,BCH 178,200,285,4.974188368,193.1851653,925,CW,,h,SB,overcast,,2/12/17,END:8:21,MM,
